Tweet_ID, Target1, Stance1, Target2, Stance2, Train/Test/Dev
657596473161457665,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657653572356743168,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
657710113717772288,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657736194369966082,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
657745829067923456,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657766725358886912,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657900094352658433,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657937713002233856,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657964576009424897,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657970937849970688,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
657971076903755778,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
657971469041991680,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
657996534139781120,Donald Trump,NONE,Hilary Clinton,NONE,Train
658186694630481920,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658276199387435009,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658286028516626433,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
658316892206055426,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
658358561244737536,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
658364916605169664,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658375154767110144,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658393586489233408,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658400795134554112,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
658422308231585792,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658587978097229826,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658617020439773184,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658629121820393472,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658654961576886272,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658656665735155713,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658658609597820928,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658664105398530048,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658668771146530816,Donald Trump,NONE,Hilary Clinton,NONE,Train
658690476065857536,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
658725529906999296,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659076644892622848,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659145737549279233,Donald Trump,NONE,Hilary Clinton,NONE,Train
659160008874196992,Donald Trump,NONE,Hilary Clinton,NONE,Train
659169584902242304,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659170195013955584,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659187609009303552,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
659210744223932416,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659216409248051200,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659227003376177152,Donald Trump,NONE,Hilary Clinton,NONE,Train
659227449880776705,Donald Trump,NONE,Hilary Clinton,NONE,Train
659238471844761600,Donald Trump,NONE,Hilary Clinton,NONE,Train
